"Name","DisplayName","PathName","State","StartMode","Description"
"duetbus","Duet Static Bus Enumerator","C:\WINDOWS\system32\DriverStore\FileRepository\duetbus.inf_amd64_66e44262fc0dd065\duetbus.sys","Stopped","Manual","Duet Static Bus Enumerator"
"DuetWPDFilter","Duet Display WPD Filter Driver","C:\WINDOWS\system32\drivers\DuetWPDFilter.sys","Running","Manual","Duet Display WPD Filter Driver"
"DXGKrnl","LDDM Graphics Subsystem","C:\WINDOWS\system32\drivers\dxgkrnl.sys","Running","Boot","LDDM Graphics Subsystem"
"ebdrv","QLogic 10 Gigabit Ethernet Adapter VBD","C:\WINDOWS\system32\drivers\evbda.sys","Stopped","Manual","QLogic 10 Gigabit Ethernet Adapter VBD"
"ebdrv0","QLogic Legacy Ethernet Adapter VBD","C:\WINDOWS\system32\drivers\evbd0a.sys","Stopped","Manual","QLogic Legacy Ethernet Adapter VBD"
"EhStorClass","Enhanced Storage Filter Driver","C:\WINDOWS\system32\drivers\EhStorClass.sys","Running","Boot","Enhanced Storage Filter Driver"
"EhStorTcgDrv","Microsoft driver for storage devices supporting IEEE 1667 and TCG protocols","C:\WINDOWS\system32\drivers\EhStorTcgDrv.sys","Stopped","Manual","Microsoft driver for storage devices supporting IEEE 1667 and TCG protocols"
"ErrDev","Microsoft Hardware Error Device Driver","C:\WINDOWS\system32\drivers\errdev.sys","Stopped","Manual","Microsoft Hardware Error Device Driver"
"ExecutionContext","CPU Scheduler for High Performance I/O","C:\WINDOWS\system32\Drivers\ExecutionContext.sys","Running","Manual","CPU Scheduler for High Performance I/O"
"exfat","exFAT File System Driver","C:\WINDOWS\system32\drivers\exfat.sys","Stopped","Manual","exFAT File System Driver"
"fastfat","FAT12/16/32 File System Driver","C:\WINDOWS\system32\drivers\fastfat.sys","Running","Manual","FAT12/16/32 File System Driver"
"fdc","Floppy Disk Controller Driver","C:\WINDOWS\system32\drivers\fdc.sys","Stopped","Manual","Floppy Disk Controller Driver"
"FileCrypt","FileCrypt","C:\WINDOWS\system32\drivers\filecrypt.sys","Running","System","FileCrypt"
"FileInfo","File Information FS MiniFilter","C:\WINDOWS\system32\drivers\fileinfo.sys","Running","Boot","File Information FS MiniFilter"
"Filetrace","Filetrace","C:\WINDOWS\system32\drivers\filetrace.sys","Stopped","Manual","Filetrace"
"file_tracker","Acronis File Tracker Driver","C:\WINDOWS\system32\DRIVERS\file_tracker.sys","Running","Boot","Acronis File Tracker Driver"
"flpydisk","Floppy Disk Driver","C:\WINDOWS\system32\drivers\flpydisk.sys","Stopped","Manual","Floppy Disk Driver"
"FltMgr","FltMgr","C:\WINDOWS\system32\drivers\fltmgr.sys","Running","Boot","FltMgr"
"fltsrv","Acronis Storage Filter Management","C:\WINDOWS\system32\DRIVERS\fltsrv.sys","Running","Boot","Acronis Storage Filter Management"
"FsDepends","File System Dependency Minifilter","C:\WINDOWS\system32\drivers\FsDepends.sys","Stopped","Manual","File System Dependency Minifilter"
"FTDIBUS","USB Serial Converter Driver","C:\WINDOWS\system32\drivers\ftdibus.sys","Stopped","Manual","USB Serial Converter Driver"
"fvevol","BitLocker Drive Encryption Filter Driver","C:\WINDOWS\system32\DRIVERS\fvevol.sys","Running","Boot","BitLocker Drive Encryption Filter Driver"
"gameflt","gameflt","C:\WINDOWS\system32\DriverStore\FileRepository\gameflt.inf_amd64_152b7ad8bf20bdc5\gameflt.sys","Stopped","Manual","gameflt"
"gencounter","Microsoft Hyper-V Generation Counter","C:\WINDOWS\system32\drivers\vmgencounter.sys","Stopped","Manual","Microsoft Hyper-V Generation Counter"
"genericusbfn","Generic USB Function Class","C:\WINDOWS\system32\DriverStore\FileRepository\genericusbfn.inf_amd64_71c810ddc0116541\genericusbfn.sys","Stopped","Manual","Generic USB Function Class"
"GenPass","Microsoft GenPass Driver","C:\WINDOWS\system32\DriverStore\FileRepository\genpass.inf_amd64_0c82d80c9252c9bd\genpass.sys","Stopped","Manual","Microsoft GenPass Driver"
"GPIOClx0101","Microsoft GPIO Class Extension Driver","C:\WINDOWS\system32\Drivers\msgpioclx.sys","Running","Manual","Microsoft GPIO Class Extension Driver"
"hcmon","VMware hcmon","C:\WINDOWS\system32\DRIVERS\hcmon.sys","Running","Auto","VMware hcmon"
"HdAudAddService","Microsoft 1.1 UAA Function Driver for High Definition Audio Service","C:\WINDOWS\system32\drivers\HdAudio.sys","Stopped","Manual","Microsoft 1.1 UAA Function Driver for High Definition Audio Service"
"HDAudBus","Microsoft UAA Bus Driver for High Definition Audio","C:\WINDOWS\system32\drivers\HDAudBus.sys","Running","Manual","Microsoft UAA Bus Driver for High Definition Audio"
"HidBatt","HID UPS Battery Driver","C:\WINDOWS\system32\drivers\HidBatt.sys","Stopped","Manual","HID UPS Battery Driver"
"HidBth","Microsoft Bluetooth HID Miniport","C:\WINDOWS\system32\drivers\hidbth.sys","Stopped","Manual","Microsoft Bluetooth HID Miniport"
"hidi2c","Microsoft I2C HID Miniport Driver","C:\WINDOWS\system32\drivers\hidi2c.sys","Stopped","Manual","Microsoft I2C HID Miniport Driver"
"hidinterrupt","Common Driver for HID Buttons implemented with interrupts","C:\WINDOWS\system32\drivers\hidinterrupt.sys","Stopped","Manual","Common Driver for HID Buttons implemented with interrupts"
"HidIr","Microsoft Infrared HID Driver","C:\WINDOWS\system32\drivers\hidir.sys","Stopped","Manual","Microsoft Infrared HID Driver"
"hidspi","Microsoft SPI HID Miniport Driver","C:\WINDOWS\system32\drivers\hidspi.sys","Stopped","Manual","Microsoft SPI HID Miniport Driver"
"HidSpiCx","HidSpi KMDF Class Extension","C:\WINDOWS\system32\drivers\HidSpiCx.sys","Stopped","Manual","HidSpi KMDF Class Extension"
"HidUsb","Microsoft HID Class Driver","C:\WINDOWS\system32\drivers\hidusb.sys","Running","Manual","Microsoft HID Class Driver"
"HpSAMD","HpSAMD","C:\WINDOWS\system32\drivers\HpSAMD.sys","Stopped","Manual","HpSAMD"
"Hsp","Microsoft Pluton Service","C:\WINDOWS\system32\drivers\Hsp.sys","Stopped","Manual","Microsoft Pluton Service"
"HTTP","HTTP Service","C:\WINDOWS\system32\drivers\HTTP.sys","Running","Manual","HTTP Service"
"hvcrash","hvcrash","C:\WINDOWS\system32\drivers\hvcrash.sys","Stopped","Disabled","hvcrash"
"hvservice","Microsoft Hypervisor Service Driver","C:\WINDOWS\system32\drivers\hvservice.sys","Running","Manual","Microsoft Hypervisor Service Driver"
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","C:\WINDOWS\system32\Drivers\mshwnclx.sys","Stopped","Manual","Microsoft Hardware Notifications Class Extension Driver"
"hwpolicy","Hardware Policy Driver","C:\WINDOWS\system32\drivers\hwpolicy.sys","Stopped","Boot","Hardware Policy Driver"
"hyperkbd","hyperkbd","C:\WINDOWS\system32\drivers\hyperkbd.sys","Stopped","Manual","hyperkbd"
"HyperVideo","HyperVideo","C:\WINDOWS\system32\drivers\HyperVideo.sys","Stopped","Manual","HyperVideo"
"I3CHost","I3C Host Controller Service","C:\WINDOWS\system32\DriverStore\FileRepository\i3chost.inf_amd64_dddfc6dc1e7b8e75\i3chost.sys","Stopped","Manual","I3C Host Controller Service"
"i8042prt","i8042 Keyboard and PS/2 Mouse Port Driver","C:\WINDOWS\system32\drivers\i8042prt.sys","Stopped","Manual","i8042 Keyboard and PS/2 Mouse Port Driver"
"iagpio","Intel Serial IO GPIO Controller Driver","C:\WINDOWS\system32\drivers\iagpio.sys","Stopped","Manual","Intel Serial IO GPIO Controller Driver"
"iai2c","Intel(R) Serial IO I2C Host Controller","C:\WINDOWS\system32\drivers\iai2c.sys","Stopped","Manual","Intel(R) Serial IO I2C Host Controller"
"iaLPSS2i_GPIO2","Intel(R) Serial IO GPIO Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2.sys","Stopped","Manual","Intel(R) Serial IO GPIO Driver v2"
"iaLPSS2i_GPIO2_BXT_P","Intel(R) Serial IO GPIO Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_BXT_P.sys","Stopped","Manual","Intel(R) Serial IO GPIO Driver v2"
"iaLPSS2i_GPIO2_CNL","Intel(R) Serial IO GPIO Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_CNL.sys","Stopped","Manual","Intel(R) Serial IO GPIO Driver v2"
"iaLPSS2i_GPIO2_GLK","Intel(R) Serial IO GPIO Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_GLK.sys","Stopped","Manual","Intel(R) Serial IO GPIO Driver v2"
"iaLPSS2i_I2C","Intel(R) Serial IO I2C Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C.sys","Stopped","Manual","Intel(R) Serial IO I2C Driver v2"
"iaLPSS2i_I2C_BXT_P","Intel(R) Serial IO I2C Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_BXT_P.sys","Stopped","Manual","Intel(R) Serial IO I2C Driver v2"
"iaLPSS2i_I2C_CNL","Intel(R) Serial IO I2C Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_CNL.sys","Stopped","Manual","Intel(R) Serial IO I2C Driver v2"
"iaLPSS2i_I2C_GLK","Intel(R) Serial IO I2C Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_GLK.sys","Stopped","Manual","Intel(R) Serial IO I2C Driver v2"
"iaLPSSi_GPIO","Intel(R) Serial IO GPIO Controller Driver","C:\WINDOWS\system32\drivers\iaLPSSi_GPIO.sys","Stopped","Manual","Intel(R) Serial IO GPIO Controller Driver"
"iaLPSSi_I2C","Intel(R) Serial IO I2C Controller Driver","C:\WINDOWS\system32\drivers\iaLPSSi_I2C.sys","Stopped","Manual","Intel(R) Serial IO I2C Controller Driver"
"iaStorAVC","Intel Chipset SATA RAID Controller","C:\WINDOWS\system32\drivers\iaStorAVC.sys","Stopped","Manual","Intel Chipset SATA RAID Controller"
"iaStorV","Intel RAID Controller Windows 7","C:\WINDOWS\system32\drivers\iaStorV.sys","Stopped","Manual","Intel RAID Controller Windows 7"
"ibbus","Mellanox InfiniBand Bus/AL (Filter Driver)","C:\WINDOWS\system32\drivers\ibbus.sys","Stopped","Manual","Mellanox InfiniBand Bus/AL (Filter Driver)"
"IndirectKmd","Indirect Displays Kernel-Mode Driver","C:\WINDOWS\system32\drivers\IndirectKmd.sys","Stopped","Manual","Indirect Displays Kernel-Mode Driver"
"IntcAzAudAddService","Service for Realtek HD Audio (WDM)","C:\WINDOWS\system32\DriverStore\FileRepository\hdxmsi.inf_amd64_10fc6b93c9326c04\RTKVHD64.sys","Running","Manual","Service for Realtek HD Audio (WDM)"
"intelide","intelide","C:\WINDOWS\system32\drivers\intelide.sys","Stopped","Manual","intelide"
"intelpep","Intel(R) Power Engine Plug-in Driver","C:\WINDOWS\system32\drivers\intelpep.sys","Running","Boot","Intel(R) Power Engine Plug-in Driver"
"intelpmax","Intel(R) Dynamic Device Peak Power Manager Driver","C:\WINDOWS\system32\drivers\intelpmax.sys","Stopped","Manual","Intel(R) Dynamic Device Peak Power Manager Driver"
"IntelPMT","Intel(R) Platform Monitoring Technology Service","C:\WINDOWS\system32\drivers\IntelPMT.sys","Running","Boot","Intel(R) Platform Monitoring Technology Service"
"intelppm","Intel Processor Driver","C:\WINDOWS\system32\drivers\intelppm.sys","Stopped","Manual","Intel Processor Driver"
"iorate","Disk I/O Rate Filter Driver","C:\WINDOWS\system32\drivers\iorate.sys","Running","Boot","Disk I/O Rate Filter Driver"
"IpFilterDriver","IP Traffic Filter Driver","C:\WINDOWS\system32\DRIVERS\ipfltdrv.sys","Stopped","Manual","IP Traffic Filter Driver"
"IPMIDRV","IPMIDRV","C:\WINDOWS\system32\drivers\IPMIDrv.sys","Stopped","Manual","IPMIDRV"
"IPNAT","IP Network Address Translator","C:\WINDOWS\system32\drivers\ipnat.sys","Stopped","Manual","IP Network Address Translator"
"IPT","IPT","C:\WINDOWS\system32\drivers\ipt.sys","Stopped","Manual","IPT"
"isapnp","isapnp","C:\WINDOWS\system32\drivers\isapnp.sys","Stopped","Manual","isapnp"
"iScsiPrt","iScsiPort Driver","C:\WINDOWS\system32\drivers\msiscsi.sys","Stopped","Manual","iScsiPort Driver"
"ItSas35i","ItSas35i","C:\WINDOWS\system32\drivers\ItSas35i.sys","Stopped","Manual","ItSas35i"
"kbdclass","Keyboard Class Driver","C:\WINDOWS\system32\drivers\kbdclass.sys","Running","Manual","Keyboard Class Driver"
"kbdhid","Keyboard HID Driver","C:\WINDOWS\system32\drivers\kbdhid.sys","Running","Manual","Keyboard HID Driver"
"kbldfltr","kbldfltr","C:\WINDOWS\system32\drivers\kbldfltr.sys","Stopped","Manual","kbldfltr"
"kdnic","Microsoft Kernel Debug Network Miniport","C:\WINDOWS\system32\drivers\kdnic.sys","Running","Manual","Microsoft Kernel Debug Network Miniport"
"kdnic_legacy","Microsoft Kernel Debug Network Miniport (NDIS 6.20)","C:\WINDOWS\system32\drivers\kdnic_legacy.sys","Stopped","Manual","Microsoft Kernel Debug Network Miniport (NDIS 6.20)"
"KSecDD","KSecDD","C:\WINDOWS\system32\Drivers\ksecdd.sys","Running","Boot","KSecDD"
"KSecPkg","KSecPkg","C:\WINDOWS\system32\Drivers\ksecpkg.sys","Running","Boot","KSecPkg"
"KslD","KslD","C:\WINDOWS\system32\drivers\wd\KslD.sys","Running","Manual","KslD"
"ksthunk","Kernel Streaming Thunks","C:\WINDOWS\system32\drivers\ksthunk.sys","Running","Manual","Kernel Streaming Thunks"
"lltdio","Link-Layer Topology Discovery Mapper I/O Driver","C:\WINDOWS\system32\drivers\lltdio.sys","Running","Auto","Link-Layer Topology Discovery Mapper I/O Driver"
"logi_generic_hid_filter","Logitech G HUB KMDF HID IO Filter Driver","C:\WINDOWS\system32\drivers\logi_generic_hid_filter.sys","Stopped","Manual","Logitech G HUB KMDF HID IO Filter Driver"
"logi_joy_bus_enum","Logitech G HUB Virtual Bus Enumerator Driver","C:\WINDOWS\system32\drivers\logi_joy_bus_enum.x64.sys","Running","Manual","Logitech G HUB Virtual Bus Enumerator Driver"
"logi_joy_hid_filter","Logitech G HUB HID Filter Driver","C:\WINDOWS\system32\drivers\logi_joy_hid_filter.sys","Stopped","Manual","Logitech G HUB HID Filter Driver"
"logi_joy_hid_lo","Logitech G HUB USB Filter Driver","C:\WINDOWS\system32\drivers\logi_joy_hid_lo.sys","Stopped","Manual","Logitech G HUB USB Filter Driver"
"logi_joy_vir_hid","Logitech G HUB Virtual HID Device Driver","C:\WINDOWS\system32\drivers\logi_joy_vir_hid.x64.sys","Running","Manual","Logitech G HUB Virtual HID Device Driver"
"logi_joy_xlcore","Logitech G HUB Translation Layer Driver","C:\WINDOWS\system32\drivers\logi_joy_xlcore.x64.sys","Running","Manual","Logitech G HUB Translation Layer Driver"
"LSI_SAS","LSI_SAS","C:\WINDOWS\system32\drivers\lsi_sas.sys","Stopped","Manual","LSI_SAS"
"LSI_SAS2i","LSI_SAS2i","C:\WINDOWS\system32\drivers\lsi_sas2i.sys","Stopped","Manual","LSI_SAS2i"
"LSI_SAS3i","LSI_SAS3i","C:\WINDOWS\system32\drivers\lsi_sas3i.sys","Stopped","Manual","LSI_SAS3i"
"luafv","UAC File Virtualization","C:\WINDOWS\system32\drivers\luafv.sys","Running","Auto","UAC File Virtualization"
"mausbhost","MA-USB Host Controller Driver","C:\WINDOWS\system32\drivers\mausbhost.sys","Stopped","Manual","MA-USB Host Controller Driver"
"mausbip","MA-USB IP Filter Driver","C:\WINDOWS\system32\drivers\mausbip.sys","Stopped","Manual","MA-USB IP Filter Driver"
"MbamElam","MbamElam","C:\WINDOWS\system32\DRIVERS\MbamElam.sys","Stopped","Boot","MbamElam"
"MBAMSwissArmy","MBAMSwissArmy","C:\WINDOWS\system32\Drivers\mbamswissarmy.sys","Stopped","Manual","MBAMSwissArmy"
"MbbCx","MBB Network Adapter Class Extension","C:\WINDOWS\system32\drivers\MbbCx.sys","Stopped","Manual","MBB Network Adapter Class Extension"
"megasas2i","megasas2i","C:\WINDOWS\system32\drivers\MegaSas2i.sys","Stopped","Manual","megasas2i"
"megasas35i","megasas35i","C:\WINDOWS\system32\drivers\megasas35i.sys","Stopped","Manual","megasas35i"
"megasr","megasr","C:\WINDOWS\system32\drivers\megasr.sys","Stopped","Manual","megasr"
"Microsoft_Bluetooth_AvrcpTransport","Microsoft Bluetooth Avrcp Transport Driver","C:\WINDOWS\system32\drivers\Microsoft.Bluetooth.AvrcpTransport.sys","Running","Manual","Microsoft Bluetooth Avrcp Transport Driver"
"mlx4_bus","Mellanox ConnectX Bus Enumerator","C:\WINDOWS\system32\drivers\mlx4_bus.sys","Stopped","Manual","Mellanox ConnectX Bus Enumerator"
"MMCSS","Multimedia Class Scheduler","C:\WINDOWS\system32\drivers\mmcss.sys","Running","Auto","Multimedia Class Scheduler"
"Modem","Modem","C:\WINDOWS\system32\drivers\modem.sys","Stopped","Manual","Modem"
"monitor","Microsoft Monitor Class Function Driver Service","C:\WINDOWS\system32\drivers\monitor.sys","Running","Manual","Microsoft Monitor Class Function Driver Service"
"mouclass","Mouse Class Driver","C:\WINDOWS\system32\drivers\mouclass.sys","Running","Manual","Mouse Class Driver"
"mouhid","Mouse HID Driver","C:\WINDOWS\system32\drivers\mouhid.sys","Running","Manual","Mouse HID Driver"
"mountmgr","Mount Point Manager","C:\WINDOWS\system32\drivers\mountmgr.sys","Running","Boot","Mount Point Manager"
"mpi3drvi","mpi3drvi","C:\WINDOWS\system32\drivers\mpi3drvi.sys","Stopped","Manual","mpi3drvi"
"mpsdrv","Windows Defender Firewall Authorization Driver","C:\WINDOWS\system32\drivers\mpsdrv.sys","Running","Manual","Windows Defender Firewall Authorization Driver"
"MRxDAV","WebDav Client Redirector Driver","C:\WINDOWS\system32\drivers\mrxdav.sys","Stopped","Manual","WebDav Client Redirector Driver"
"mrxsmb","SMB MiniRedirector Wrapper and Engine","C:\WINDOWS\system32\DRIVERS\mrxsmb.sys","Running","Manual","SMB MiniRedirector Wrapper and Engine"
"mrxsmb20","SMB 2.0 MiniRedirector","C:\WINDOWS\system32\DRIVERS\mrxsmb20.sys","Running","Manual","SMB 2.0 MiniRedirector"
"MsBridge","Microsoft MAC Bridge","C:\WINDOWS\system32\drivers\bridge.sys","Stopped","Manual","Microsoft MAC Bridge"
"Msfs","Msfs","C:\WINDOWS\system32\drivers\Msfs.sys","Running","System","Msfs"
"msgpiowin32","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","C:\WINDOWS\system32\drivers\msgpiowin32.sys","Stopped","Manual","Common Driver for Buttons, DockMode and Laptop/Slate Indicator"
"mshidkmdf","Pass-through HID to KMDF Filter Driver","C:\WINDOWS\system32\drivers\mshidkmdf.sys","Stopped","Manual","Pass-through HID to KMDF Filter Driver"
"mshidumdf","Pass-through HID to UMDF Driver","C:\WINDOWS\system32\drivers\mshidumdf.sys","Running","Manual","Pass-through HID to UMDF Driver"
"MSIO","MSIO","\??\C:\Windows\system32\drivers\MsIo64.sys","Running","System","MSIO"
"msisadrv","msisadrv","C:\WINDOWS\system32\drivers\msisadrv.sys","Running","Boot","msisadrv"
"MSKSSRV","Microsoft Streaming Service Proxy","C:\WINDOWS\system32\drivers\MSKSSRV.sys","Running","Manual","Microsoft Streaming Service Proxy"
"MsLldp","Microsoft Link-Layer Discovery Protocol","C:\WINDOWS\system32\drivers\mslldp.sys","Running","Auto","Microsoft Link-Layer Discovery Protocol"
"MSPCLOCK","Microsoft Streaming Clock Proxy","C:\WINDOWS\system32\drivers\MSPCLOCK.sys","Stopped","Manual","Microsoft Streaming Clock Proxy"
"MSPQM","Microsoft Streaming Quality Manager Proxy","C:\WINDOWS\system32\drivers\MSPQM.sys","Stopped","Manual","Microsoft Streaming Quality Manager Proxy"
"MsQuic","MsQuic","C:\WINDOWS\system32\drivers\msquic.sys","Stopped","Manual","MsQuic"
"MsQuicPrev","MSQUIC","C:\WINDOWS\system32\drivers\msquicprev.sys","Stopped","Manual","MSQUIC"
"MsRPC","MsRPC","C:\WINDOWS\system32\drivers\MsRPC.sys","Stopped","Manual","MsRPC"
"MsSecCore","Microsoft Security Core Boot Driver","C:\WINDOWS\system32\drivers\msseccore.sys","Running","Boot","Microsoft Security Core Boot Driver"
"MsSecFlt","Microsoft Security Events Component Minifilter","C:\WINDOWS\system32\drivers\mssecflt.sys","Stopped","Manual","Microsoft Security Events Component Minifilter"
"MsSecWfp","Microsoft Security WFP Callout Driver","C:\WINDOWS\system32\drivers\mssecwfp.sys","Stopped","Manual","Microsoft Security WFP Callout Driver"
"mssmbios","Microsoft System Management BIOS Driver","C:\WINDOWS\system32\drivers\mssmbios.sys","Running","System","Microsoft System Management BIOS Driver"
"MSTEE","Microsoft Streaming Tee/Sink-to-Sink Converter","C:\WINDOWS\system32\drivers\MSTEE.sys","Stopped","Manual","Microsoft Streaming Tee/Sink-to-Sink Converter"
"MTConfig","Microsoft Input Configuration Driver","C:\WINDOWS\system32\drivers\MTConfig.sys","Stopped","Manual","Microsoft Input Configuration Driver"
"Mup","Mup","C:\WINDOWS\system32\Drivers\mup.sys","Running","Boot","Mup"
"mvumis","mvumis","C:\WINDOWS\system32\drivers\mvumis.sys","Stopped","Manual","mvumis"
"NativeWifiP","NativeWiFi Filter","C:\WINDOWS\system32\DRIVERS\nwifi.sys","Running","Manual","NativeWiFi Filter"
"ndfltr","NetworkDirect Service","C:\WINDOWS\system32\drivers\ndfltr.sys","Stopped","Manual","NetworkDirect Service"
"NDIS","NDIS System Driver","C:\WINDOWS\system32\drivers\ndis.sys","Running","Boot","NDIS System Driver"
"NdisCap","Microsoft NDIS Capture","C:\WINDOWS\system32\drivers\ndiscap.sys","Running","System","Microsoft NDIS Capture"
"NdisImPlatform","Microsoft Network Adapter Multiplexor Protocol","C:\WINDOWS\system32\drivers\NdisImPlatform.sys","Stopped","Manual","Microsoft Network Adapter Multiplexor Protocol"
"NdisTapi","Remote Access NDIS TAPI Driver","C:\WINDOWS\system32\DRIVERS\ndistapi.sys","Running","Manual","Remote Access NDIS TAPI Driver"
"Ndisuio","NDIS Usermode I/O Protocol","C:\WINDOWS\system32\drivers\ndisuio.sys","Running","Manual","NDIS Usermode I/O Protocol"
"NdisVirtualBus","Microsoft Virtual Network Adapter Enumerator","C:\WINDOWS\system32\drivers\NdisVirtualBus.sys","Running","Manual","Microsoft Virtual Network Adapter Enumerator"
"NdisWan","Remote Access NDIS WAN Driver","C:\WINDOWS\system32\drivers\ndiswan.sys","Running","Manual","Remote Access NDIS WAN Driver"
"ndiswanlegacy","Remote Access LEGACY NDIS WAN Driver","C:\WINDOWS\system32\DRIVERS\ndiswan.sys","Stopped","Manual","Remote Access LEGACY NDIS WAN Driver"
"NDivert","NordVPN Divert Driver","\??\C:\Program Files\NordVPN\8.0.5.0\Drivers\NDivert.sys","Running","Auto","NordVPN Divert Driver"
"NDKPerf","NDKPerf Driver","C:\WINDOWS\system32\drivers\NDKPerf.sys","Stopped","Manual","NDKPerf Driver"
"NDKPing","NDKPing Driver","C:\WINDOWS\system32\drivers\NDKPing.sys","Stopped","Manual","NDKPing Driver"
"ndproxy","NDIS Proxy Driver","C:\WINDOWS\system32\DRIVERS\NDProxy.sys","Running","Manual","NDIS Proxy Driver"
"Ndu","Windows Network Data Usage Monitoring Driver","C:\WINDOWS\system32\drivers\Ndu.sys","Running","Auto","Windows Network Data Usage Monitoring Driver"
"NetAdapterCx","Network Adapter WDF Class Extension Library","C:\WINDOWS\system32\drivers\netadaptercx.sys","Running","Manual","Network Adapter WDF Class Extension Library"
"NetBIOS","NetBIOS Interface","C:\WINDOWS\system32\drivers\netbios.sys","Running","System","NetBIOS Interface"
"NetBT","NetBT","C:\WINDOWS\system32\DRIVERS\netbt.sys","Running","System","NetBT"
"netvsc","netvsc","C:\WINDOWS\system32\drivers\netvsc.sys","Stopped","Manual","netvsc"
"NetworkPrivacyPolicy","Microsoft Network Privacy Policy Service","C:\WINDOWS\system32\DriverStore\FileRepository\networkprivacypolicy.inf_amd64_42abed8762795b20\NetworkPrivacyPolicy.sys","Stopped","Auto","Microsoft Network Privacy Policy Service"
"npcap","Npcap Packet Driver (NPCAP)","C:\WINDOWS\system32\DRIVERS\npcap.sys","Running","System","Npcap Packet Driver (NPCAP)"
"npcap_wifi","Npcap Packet Driver (NPCAP) (Wi-Fi)","C:\WINDOWS\system32\DRIVERS\npcap.sys","Stopped","Disabled","Npcap Packet Driver (NPCAP) (Wi-Fi)"
"Npfs","Npfs","C:\WINDOWS\system32\drivers\Npfs.sys","Running","System","Npfs"
"npsvctrig","Named pipe service trigger provider","C:\WINDOWS\system32\drivers\npsvctrig.sys","Running","System","Named pipe service trigger provider"
"nsiproxy","NSI Proxy Service Driver","C:\WINDOWS\system32\drivers\nsiproxy.sys","Running","System","NSI Proxy Service Driver"
"Ntfs","Ntfs","C:\WINDOWS\system32\drivers\Ntfs.sys","Running","Manual","Ntfs"
"Null","Null","C:\WINDOWS\system32\drivers\Null.sys","Running","System","Null"
"nvdimm","Microsoft NVDIMM device driver","C:\WINDOWS\system32\drivers\nvdimm.sys","Stopped","Manual","Microsoft NVDIMM device driver"
"NVHDA","Service for NVIDIA High Definition Audio Driver","C:\WINDOWS\system32\drivers\nvhda64v.sys","Running","Manual","Service for NVIDIA High Definition Audio Driver"
"nvlddmkm","nvlddmkm","C:\WINDOWS\system32\DriverStore\FileRepository\nv_dispi.inf_amd64_e980fd2c7c4fce8e\nvlddmkm.sys","Running","Manual","nvlddmkm"
"nvmedisk","Microsoft NVMe disk driver","C:\WINDOWS\system32\drivers\nvmedisk.sys","Running","Boot","Microsoft NVMe disk driver"
"nvraid","nvraid","C:\WINDOWS\system32\drivers\nvraid.sys","Stopped","Manual","nvraid"
"nvrtxvad_WaveExtensible","NVIDIA Broadcast","C:\WINDOWS\system32\drivers\nvrtxvad64v.sys","Running","Manual","NVIDIA Broadcast"
"nvstor","nvstor","C:\WINDOWS\system32\drivers\nvstor.sys","Stopped","Manual","nvstor"
"nvvad_WaveExtensible","NVIDIA Virtual Audio Device (Wave Extensible) (WDM)","C:\WINDOWS\system32\drivers\nvvad64v.sys","Running","Manual","NVIDIA Virtual Audio Device (Wave Extensible) (WDM)"
"nvvhci","NVVHCI Enumerator Service","C:\WINDOWS\system32\drivers\nvvhci.sys","Stopped","Manual","NVVHCI Enumerator Service"
"ovpn-dco","ovpn-dco","C:\WINDOWS\system32\drivers\ovpn-dco.sys","Running","Manual","ovpn-dco"
"P9Rdr","Plan 9 Redirector Driver","C:\WINDOWS\system32\drivers\p9rdr.sys","Stopped","Manual","Plan 9 Redirector Driver"
"Parport","Parallel port driver","C:\WINDOWS\system32\drivers\parport.sys","Stopped","Manual","Parallel port driver"
"partmgr","Partition driver","C:\WINDOWS\system32\drivers\partmgr.sys","Running","Boot","Partition driver"
"pci","PCI Bus Driver","C:\WINDOWS\system32\drivers\pci.sys","Running","Boot","PCI Bus Driver"
"pciide","pciide","C:\WINDOWS\system32\drivers\pciide.sys","Stopped","Manual","pciide"
"pcip","PCI Proxy driver","C:\WINDOWS\system32\drivers\pcip.sys","Stopped","Manual","PCI Proxy driver"
"pcmcia","pcmcia","C:\WINDOWS\system32\drivers\pcmcia.sys","Stopped","Manual","pcmcia"
"pcw","Performance Counters for Windows Driver","C:\WINDOWS\system32\drivers\pcw.sys","Running","Boot","Performance Counters for Windows Driver"
"pdc","pdc","C:\WINDOWS\system32\drivers\pdc.sys","Running","Boot","pdc"
"PEAUTH","PEAUTH","C:\WINDOWS\system32\drivers\peauth.sys","Running","Auto","PEAUTH"
"percsas2i","percsas2i","C:\WINDOWS\system32\drivers\percsas2i.sys","Stopped","Manual","percsas2i"
